00000000) perceptual - 135.45325; gen_gan - 0.35222; feature_matching - 3.50610; equivariance_value - 0.38566; equivariance_jacobian - 0.71901; kp_distance - 4.03942; disc_gan - 0.46968
00000224) perceptual - 79.95718; gen_gan - 0.34133; feature_matching - 1.73630; equivariance_value - 0.21686; equivariance_jacobian - 0.41850; kp_distance - 1.22518; disc_gan - 0.44609
00000225) perceptual - 78.95683; gen_gan - 0.44731; feature_matching - 2.82809; equivariance_value - 0.22135; equivariance_jacobian - 0.41658; kp_distance - 1.25951; disc_gan - 0.37811
00000225) perceptual - 79.07204; gen_gan - 0.44401; feature_matching - 2.83005; equivariance_value - 0.21845; equivariance_jacobian - 0.41591; kp_distance - 1.25380; disc_gan - 0.37796
00000226) perceptual - 79.81213; gen_gan - 0.65310; feature_matching - 4.40750; equivariance_value - 0.21770; equivariance_jacobian - 0.41635; kp_distance - 1.27704; disc_gan - 0.22329
00000226) perceptual - 79.82803; gen_gan - 0.65339; feature_matching - 4.41707; equivariance_value - 0.21499; equivariance_jacobian - 0.41474; kp_distance - 1.27702; disc_gan - 0.22520
00000227) perceptual - 79.60131; gen_gan - 0.66625; feature_matching - 4.49173; equivariance_value - 0.21385; equivariance_jacobian - 0.41433; kp_distance - 1.32902; disc_gan - 0.21452
00000227) perceptual - 79.59245; gen_gan - 0.66560; feature_matching - 4.49500; equivariance_value - 0.21403; equivariance_jacobian - 0.41247; kp_distance - 1.31948; disc_gan - 0.21528
00000228) perceptual - 79.66680; gen_gan - 0.66438; feature_matching - 4.50086; equivariance_value - 0.21874; equivariance_jacobian - 0.41572; kp_distance - 1.23503; disc_gan - 0.21615
00000228) perceptual - 79.97805; gen_gan - 0.66592; feature_matching - 4.51289; equivariance_value - 0.21984; equivariance_jacobian - 0.41660; kp_distance - 1.23594; disc_gan - 0.21797
00000229) perceptual - 79.48617; gen_gan - 0.66036; feature_matching - 4.51537; equivariance_value - 0.21481; equivariance_jacobian - 0.41349; kp_distance - 1.30800; disc_gan - 0.21893
00000229) perceptual - 79.89148; gen_gan - 0.66348; feature_matching - 4.51937; equivariance_value - 0.21248; equivariance_jacobian - 0.41069; kp_distance - 1.30737; disc_gan - 0.21670
00000230) perceptual - 80.28600; gen_gan - 0.66286; feature_matching - 4.32197; equivariance_value - 0.21521; equivariance_jacobian - 0.41347; kp_distance - 1.24785; disc_gan - 0.30083
00000230) perceptual - 80.29099; gen_gan - 0.66263; feature_matching - 4.32658; equivariance_value - 0.21439; equivariance_jacobian - 0.41388; kp_distance - 1.24410; disc_gan - 0.30125
00000231) perceptual - 79.49928; gen_gan - 0.31827; feature_matching - 1.57596; equivariance_value - 0.21592; equivariance_jacobian - 0.41700; kp_distance - 1.20095; disc_gan - 0.45959
00000231) perceptual - 79.17218; gen_gan - 0.32073; feature_matching - 1.57103; equivariance_value - 0.21764; equivariance_jacobian - 0.41736; kp_distance - 1.20782; disc_gan - 0.45758
00000232) perceptual - 79.39152; gen_gan - 0.37032; feature_matching - 1.75795; equivariance_value - 0.21569; equivariance_jacobian - 0.41345; kp_distance - 1.25776; disc_gan - 0.42171
00000232) perceptual - 79.25650; gen_gan - 0.36806; feature_matching - 1.75673; equivariance_value - 0.21247; equivariance_jacobian - 0.41133; kp_distance - 1.25904; disc_gan - 0.42156
00000233) perceptual - 79.08201; gen_gan - 0.40802; feature_matching - 2.42398; equivariance_value - 0.21290; equivariance_jacobian - 0.40984; kp_distance - 1.27397; disc_gan - 0.39422
00000233) perceptual - 79.06847; gen_gan - 0.40850; feature_matching - 2.42427; equivariance_value - 0.21437; equivariance_jacobian - 0.41162; kp_distance - 1.27404; disc_gan - 0.39335
00000234) perceptual - 79.39305; gen_gan - 0.49431; feature_matching - 3.45011; equivariance_value - 0.21839; equivariance_jacobian - 0.41382; kp_distance - 1.21864; disc_gan - 0.36052
00000234) perceptual - 79.42426; gen_gan - 0.49454; feature_matching - 3.45166; equivariance_value - 0.21760; equivariance_jacobian - 0.41445; kp_distance - 1.21545; disc_gan - 0.36055
00000235) perceptual - 79.15997; gen_gan - 0.60616; feature_matching - 4.16967; equivariance_value - 0.21530; equivariance_jacobian - 0.41095; kp_distance - 1.24252; disc_gan - 0.26237
00000235) perceptual - 79.23705; gen_gan - 0.60407; feature_matching - 4.16836; equivariance_value - 0.21776; equivariance_jacobian - 0.41261; kp_distance - 1.23922; disc_gan - 0.26114
00000236) perceptual - 79.59878; gen_gan - 0.66994; feature_matching - 4.51100; equivariance_value - 0.21453; equivariance_jacobian - 0.41153; kp_distance - 1.28374; disc_gan - 0.21245
00000236) perceptual - 79.18345; gen_gan - 0.66906; feature_matching - 4.50499; equivariance_value - 0.21572; equivariance_jacobian - 0.41266; kp_distance - 1.28465; disc_gan - 0.21327
00000237) perceptual - 79.61452; gen_gan - 0.67243; feature_matching - 4.53373; equivariance_value - 0.21254; equivariance_jacobian - 0.40967; kp_distance - 1.27737; disc_gan - 0.21107
00000237) perceptual - 79.79286; gen_gan - 0.67384; feature_matching - 4.54243; equivariance_value - 0.21339; equivariance_jacobian - 0.41064; kp_distance - 1.27524; disc_gan - 0.21216
00000238) perceptual - 79.23198; gen_gan - 0.66989; feature_matching - 4.54150; equivariance_value - 0.21429; equivariance_jacobian - 0.41123; kp_distance - 1.27742; disc_gan - 0.21336
00000238) perceptual - 79.30555; gen_gan - 0.66959; feature_matching - 4.54404; equivariance_value - 0.21222; equivariance_jacobian - 0.40956; kp_distance - 1.27588; disc_gan - 0.21304
00000239) perceptual - 79.53273; gen_gan - 0.67031; feature_matching - 4.55801; equivariance_value - 0.21647; equivariance_jacobian - 0.41445; kp_distance - 1.26951; disc_gan - 0.21272
00000239) perceptual - 79.76432; gen_gan - 0.67228; feature_matching - 4.56766; equivariance_value - 0.21505; equivariance_jacobian - 0.41172; kp_distance - 1.26610; disc_gan - 0.21180
00000240) perceptual - 79.80102; gen_gan - 0.48631; feature_matching - 3.11474; equivariance_value - 0.21514; equivariance_jacobian - 0.41403; kp_distance - 1.22533; disc_gan - 0.37923
00000240) perceptual - 80.08457; gen_gan - 0.48648; feature_matching - 3.12941; equivariance_value - 0.21630; equivariance_jacobian - 0.41400; kp_distance - 1.22143; disc_gan - 0.37968
00000241) perceptual - 78.91821; gen_gan - 0.41303; feature_matching - 2.88896; equivariance_value - 0.21248; equivariance_jacobian - 0.41051; kp_distance - 1.24688; disc_gan - 0.39422
00000241) perceptual - 78.80544; gen_gan - 0.41393; feature_matching - 2.88762; equivariance_value - 0.21431; equivariance_jacobian - 0.41017; kp_distance - 1.24596; disc_gan - 0.39417
00000242) perceptual - 79.00259; gen_gan - 0.64053; feature_matching - 4.42218; equivariance_value - 0.21766; equivariance_jacobian - 0.41267; kp_distance - 1.23441; disc_gan - 0.24741
00000242) perceptual - 79.12131; gen_gan - 0.64117; feature_matching - 4.41861; equivariance_value - 0.21411; equivariance_jacobian - 0.40954; kp_distance - 1.22882; disc_gan - 0.24688
00000243) perceptual - 78.99535; gen_gan - 0.66941; feature_matching - 4.57070; equivariance_value - 0.21768; equivariance_jacobian - 0.41153; kp_distance - 1.23042; disc_gan - 0.21371
00000243) perceptual - 79.50152; gen_gan - 0.66857; feature_matching - 4.58236; equivariance_value - 0.22028; equivariance_jacobian - 0.41655; kp_distance - 1.22540; disc_gan - 0.21414
00000244) perceptual - 79.75785; gen_gan - 0.67266; feature_matching - 4.59449; equivariance_value - 0.21248; equivariance_jacobian - 0.40903; kp_distance - 1.23849; disc_gan - 0.21220
00000244) perceptual - 79.10767; gen_gan - 0.66992; feature_matching - 4.58498; equivariance_value - 0.21392; equivariance_jacobian - 0.41056; kp_distance - 1.23521; disc_gan - 0.21367
00000245) perceptual - 79.24333; gen_gan - 0.67122; feature_matching - 4.58267; equivariance_value - 0.20625; equivariance_jacobian - 0.41157; kp_distance - 1.26701; disc_gan - 0.21159
00000245) perceptual - 79.11317; gen_gan - 0.66951; feature_matching - 4.57921; equivariance_value - 0.20740; equivariance_jacobian - 0.41179; kp_distance - 1.27251; disc_gan - 0.21491
00000246) perceptual - 79.31442; gen_gan - 0.67466; feature_matching - 4.59562; equivariance_value - 0.21069; equivariance_jacobian - 0.41120; kp_distance - 1.28390; disc_gan - 0.21362
00000246) perceptual - 79.56089; gen_gan - 0.66842; feature_matching - 4.60429; equivariance_value - 0.21229; equivariance_jacobian - 0.41317; kp_distance - 1.28319; disc_gan - 0.21170
00000247) perceptual - 79.18671; gen_gan - 0.66761; feature_matching - 4.59285; equivariance_value - 0.21303; equivariance_jacobian - 0.41091; kp_distance - 1.26663; disc_gan - 0.21226
00000247) perceptual - 79.66489; gen_gan - 0.67550; feature_matching - 4.60591; equivariance_value - 0.21167; equivariance_jacobian - 0.41099; kp_distance - 1.26260; disc_gan - 0.21306
00000248) perceptual - 79.29946; gen_gan - 0.66887; feature_matching - 4.59363; equivariance_value - 0.21236; equivariance_jacobian - 0.41045; kp_distance - 1.28425; disc_gan - 0.21343
00000248) perceptual - 78.95148; gen_gan - 0.67069; feature_matching - 4.59246; equivariance_value - 0.21078; equivariance_jacobian - 0.41081; kp_distance - 1.28819; disc_gan - 0.21345
00000249) perceptual - 78.96770; gen_gan - 0.67108; feature_matching - 4.59295; equivariance_value - 0.21314; equivariance_jacobian - 0.40923; kp_distance - 1.24051; disc_gan - 0.21259
00000249) perceptual - 79.04548; gen_gan - 0.66915; feature_matching - 4.59154; equivariance_value - 0.21457; equivariance_jacobian - 0.40860; kp_distance - 1.23012; disc_gan - 0.21572
00000250) perceptual - 79.24755; gen_gan - 0.67158; feature_matching - 4.59802; equivariance_value - 0.21033; equivariance_jacobian - 0.40767; kp_distance - 1.25414; disc_gan - 0.21389
00000250) perceptual - 78.76142; gen_gan - 0.66876; feature_matching - 4.58563; equivariance_value - 0.21448; equivariance_jacobian - 0.41251; kp_distance - 1.25591; disc_gan - 0.21509
00000251) perceptual - 79.14883; gen_gan - 0.67034; feature_matching - 4.60128; equivariance_value - 0.21417; equivariance_jacobian - 0.41126; kp_distance - 1.23058; disc_gan - 0.21368
00000251) perceptual - 79.19794; gen_gan - 0.67350; feature_matching - 4.60771; equivariance_value - 0.21505; equivariance_jacobian - 0.41224; kp_distance - 1.23146; disc_gan - 0.21242
00000252) perceptual - 79.19475; gen_gan - 0.67506; feature_matching - 4.60179; equivariance_value - 0.21545; equivariance_jacobian - 0.41179; kp_distance - 1.22640; disc_gan - 0.21238
00000252) perceptual - 78.92213; gen_gan - 0.67134; feature_matching - 4.59563; equivariance_value - 0.21464; equivariance_jacobian - 0.40951; kp_distance - 1.22871; disc_gan - 0.21279
00000253) perceptual - 78.97675; gen_gan - 0.67442; feature_matching - 4.60305; equivariance_value - 0.21099; equivariance_jacobian - 0.41067; kp_distance - 1.21728; disc_gan - 0.21320
00000253) perceptual - 78.74689; gen_gan - 0.67091; feature_matching - 4.59774; equivariance_value - 0.21270; equivariance_jacobian - 0.41085; kp_distance - 1.22241; disc_gan - 0.21318
00000254) perceptual - 78.94544; gen_gan - 0.67228; feature_matching - 4.61021; equivariance_value - 0.20965; equivariance_jacobian - 0.40822; kp_distance - 1.26272; disc_gan - 0.21164
00000254) perceptual - 79.00478; gen_gan - 0.67535; feature_matching - 4.60618; equivariance_value - 0.21099; equivariance_jacobian - 0.40919; kp_distance - 1.26768; disc_gan - 0.21369
00000255) perceptual - 80.53197; gen_gan - 0.42338; feature_matching - 2.87708; equivariance_value - 0.21386; equivariance_jacobian - 0.41872; kp_distance - 1.24031; disc_gan - 0.42693
00000255) perceptual - 80.78575; gen_gan - 0.42715; feature_matching - 2.88383; equivariance_value - 0.21307; equivariance_jacobian - 0.41773; kp_distance - 1.23914; disc_gan - 0.42485
00000256) perceptual - 78.57658; gen_gan - 0.60810; feature_matching - 4.29070; equivariance_value - 0.21263; equivariance_jacobian - 0.41019; kp_distance - 1.24238; disc_gan - 0.26450
00000256) perceptual - 78.27248; gen_gan - 0.61067; feature_matching - 4.29153; equivariance_value - 0.21024; equivariance_jacobian - 0.40780; kp_distance - 1.23917; disc_gan - 0.26566
00000257) perceptual - 79.12835; gen_gan - 0.67430; feature_matching - 4.63105; equivariance_value - 0.21016; equivariance_jacobian - 0.40839; kp_distance - 1.29356; disc_gan - 0.20914
00000257) perceptual - 79.17377; gen_gan - 0.67793; feature_matching - 4.63215; equivariance_value - 0.20914; equivariance_jacobian - 0.40764; kp_distance - 1.28998; disc_gan - 0.20965
00000258) perceptual - 78.78790; gen_gan - 0.67614; feature_matching - 4.64928; equivariance_value - 0.20997; equivariance_jacobian - 0.40708; kp_distance - 1.33099; disc_gan - 0.20992
00000258) perceptual - 79.10487; gen_gan - 0.67865; feature_matching - 4.65993; equivariance_value - 0.20935; equivariance_jacobian - 0.40781; kp_distance - 1.33641; disc_gan - 0.20898
00000259) perceptual - 79.25582; gen_gan - 0.67383; feature_matching - 4.65033; equivariance_value - 0.20768; equivariance_jacobian - 0.40507; kp_distance - 1.29012; disc_gan - 0.20864
00000259) perceptual - 78.76917; gen_gan - 0.68149; feature_matching - 4.65080; equivariance_value - 0.21034; equivariance_jacobian - 0.40620; kp_distance - 1.29313; disc_gan - 0.20790
00000260) perceptual - 78.88767; gen_gan - 0.67904; feature_matching - 4.65458; equivariance_value - 0.20964; equivariance_jacobian - 0.40630; kp_distance - 1.28950; disc_gan - 0.20914
00000260) perceptual - 79.49952; gen_gan - 0.68044; feature_matching - 4.65995; equivariance_value - 0.20882; equivariance_jacobian - 0.40522; kp_distance - 1.29586; disc_gan - 0.20749
00000261) perceptual - 78.79244; gen_gan - 0.67826; feature_matching - 4.64804; equivariance_value - 0.21290; equivariance_jacobian - 0.40976; kp_distance - 1.25764; disc_gan - 0.20857
00000261) perceptual - 79.12802; gen_gan - 0.67980; feature_matching - 4.65985; equivariance_value - 0.21423; equivariance_jacobian - 0.40994; kp_distance - 1.26037; disc_gan - 0.20793
00000262) perceptual - 78.97152; gen_gan - 0.68100; feature_matching - 4.66558; equivariance_value - 0.20951; equivariance_jacobian - 0.40638; kp_distance - 1.27682; disc_gan - 0.20554
00000262) perceptual - 78.90509; gen_gan - 0.68000; feature_matching - 4.66186; equivariance_value - 0.21023; equivariance_jacobian - 0.40720; kp_distance - 1.28127; disc_gan - 0.20873
00000263) perceptual - 79.14763; gen_gan - 0.67963; feature_matching - 4.66698; equivariance_value - 0.21093; equivariance_jacobian - 0.40826; kp_distance - 1.26173; disc_gan - 0.20715
00000263) perceptual - 78.70599; gen_gan - 0.67975; feature_matching - 4.65226; equivariance_value - 0.21126; equivariance_jacobian - 0.40826; kp_distance - 1.25705; disc_gan - 0.20886
00000264) perceptual - 78.67377; gen_gan - 0.68185; feature_matching - 4.66597; equivariance_value - 0.20704; equivariance_jacobian - 0.40484; kp_distance - 1.27586; disc_gan - 0.20669
00000264) perceptual - 78.79232; gen_gan - 0.67882; feature_matching - 4.66595; equivariance_value - 0.20837; equivariance_jacobian - 0.40610; kp_distance - 1.27267; disc_gan - 0.20801
00000265) perceptual - 78.81169; gen_gan - 0.68164; feature_matching - 4.66836; equivariance_value - 0.21020; equivariance_jacobian - 0.40766; kp_distance - 1.26852; disc_gan - 0.20689
00000265) perceptual - 79.00920; gen_gan - 0.68234; feature_matching - 4.66950; equivariance_value - 0.20949; equivariance_jacobian - 0.40726; kp_distance - 1.26100; disc_gan - 0.20605
00000266) perceptual - 78.85072; gen_gan - 0.68601; feature_matching - 4.67054; equivariance_value - 0.21123; equivariance_jacobian - 0.40802; kp_distance - 1.27873; disc_gan - 0.20480
00000266) perceptual - 78.92916; gen_gan - 0.68614; feature_matching - 4.67390; equivariance_value - 0.20945; equivariance_jacobian - 0.40555; kp_distance - 1.28179; disc_gan - 0.20427
00000267) perceptual - 79.06093; gen_gan - 0.68550; feature_matching - 4.68230; equivariance_value - 0.21141; equivariance_jacobian - 0.40910; kp_distance - 1.26840; disc_gan - 0.20429
00000267) perceptual - 78.47900; gen_gan - 0.68314; feature_matching - 4.67340; equivariance_value - 0.21305; equivariance_jacobian - 0.40931; kp_distance - 1.26243; disc_gan - 0.20567
00000268) perceptual - 78.46834; gen_gan - 0.68398; feature_matching - 4.67600; equivariance_value - 0.20994; equivariance_jacobian - 0.40442; kp_distance - 1.26477; disc_gan - 0.20499
00000268) perceptual - 78.82841; gen_gan - 0.68800; feature_matching - 4.67240; equivariance_value - 0.20961; equivariance_jacobian - 0.40444; kp_distance - 1.26023; disc_gan - 0.20527
00000269) perceptual - 78.73233; gen_gan - 0.68940; feature_matching - 4.68386; equivariance_value - 0.20619; equivariance_jacobian - 0.40230; kp_distance - 1.24440; disc_gan - 0.20280
00000269) perceptual - 78.54430; gen_gan - 0.68563; feature_matching - 4.67722; equivariance_value - 0.20699; equivariance_jacobian - 0.40224; kp_distance - 1.25114; disc_gan - 0.20332
00000270) perceptual - 78.94871; gen_gan - 0.69122; feature_matching - 4.68335; equivariance_value - 0.21146; equivariance_jacobian - 0.40605; kp_distance - 1.23723; disc_gan - 0.20180
00000270) perceptual - 78.95713; gen_gan - 0.68713; feature_matching - 4.68583; equivariance_value - 0.21113; equivariance_jacobian - 0.40524; kp_distance - 1.24799; disc_gan - 0.20125
00000271) perceptual - 78.47991; gen_gan - 0.68826; feature_matching - 4.69541; equivariance_value - 0.21181; equivariance_jacobian - 0.40468; kp_distance - 1.26884; disc_gan - 0.20336
00000271) perceptual - 78.50179; gen_gan - 0.68613; feature_matching - 4.67917; equivariance_value - 0.21041; equivariance_jacobian - 0.40380; kp_distance - 1.26619; disc_gan - 0.20352
00000272) perceptual - 78.90729; gen_gan - 0.69231; feature_matching - 4.69842; equivariance_value - 0.21088; equivariance_jacobian - 0.40695; kp_distance - 1.23668; disc_gan - 0.20025
00000272) perceptual - 78.90969; gen_gan - 0.68948; feature_matching - 4.69483; equivariance_value - 0.20892; equivariance_jacobian - 0.40497; kp_distance - 1.23866; disc_gan - 0.19976
00000273) perceptual - 78.81393; gen_gan - 0.69402; feature_matching - 4.70614; equivariance_value - 0.21271; equivariance_jacobian - 0.40671; kp_distance - 1.24133; disc_gan - 0.19954
00000273) perceptual - 78.58557; gen_gan - 0.69425; feature_matching - 4.69889; equivariance_value - 0.21210; equivariance_jacobian - 0.40585; kp_distance - 1.24439; disc_gan - 0.19920
00000274) perceptual - 78.81496; gen_gan - 0.45504; feature_matching - 2.97022; equivariance_value - 0.21181; equivariance_jacobian - 0.40581; kp_distance - 1.25334; disc_gan - 0.39395
00000274) perceptual - 78.47169; gen_gan - 0.45312; feature_matching - 2.96688; equivariance_value - 0.21103; equivariance_jacobian - 0.40440; kp_distance - 1.24847; disc_gan - 0.39408
00000275) perceptual - 77.99875; gen_gan - 0.38003; feature_matching - 2.43423; equivariance_value - 0.20709; equivariance_jacobian - 0.40356; kp_distance - 1.27218; disc_gan - 0.41622
00000275) perceptual - 78.25590; gen_gan - 0.37765; feature_matching - 2.43896; equivariance_value - 0.20747; equivariance_jacobian - 0.40411; kp_distance - 1.27098; disc_gan - 0.41514
00000276) perceptual - 78.08408; gen_gan - 0.46637; feature_matching - 3.53872; equivariance_value - 0.20798; equivariance_jacobian - 0.40234; kp_distance - 1.26484; disc_gan - 0.35296
00000276) perceptual - 77.96973; gen_gan - 0.46960; feature_matching - 3.54269; equivariance_value - 0.20762; equivariance_jacobian - 0.40353; kp_distance - 1.26389; disc_gan - 0.35197
00000277) perceptual - 78.64898; gen_gan - 0.55442; feature_matching - 4.11359; equivariance_value - 0.20761; equivariance_jacobian - 0.40244; kp_distance - 1.29049; disc_gan - 0.29370
00000277) perceptual - 78.10843; gen_gan - 0.55309; feature_matching - 4.10468; equivariance_value - 0.20597; equivariance_jacobian - 0.40084; kp_distance - 1.28208; disc_gan - 0.29410
00000278) perceptual - 78.27613; gen_gan - 0.57268; feature_matching - 4.06049; equivariance_value - 0.20703; equivariance_jacobian - 0.40250; kp_distance - 1.25727; disc_gan - 0.31629
00000278) perceptual - 78.09345; gen_gan - 0.57037; feature_matching - 4.05222; equivariance_value - 0.20597; equivariance_jacobian - 0.40067; kp_distance - 1.25931; disc_gan - 0.31509
00000279) perceptual - 77.74371; gen_gan - 0.42137; feature_matching - 2.88000; equivariance_value - 0.20586; equivariance_jacobian - 0.40121; kp_distance - 1.28008; disc_gan - 0.38905
00000279) perceptual - 77.82820; gen_gan - 0.42159; feature_matching - 2.88752; equivariance_value - 0.20752; equivariance_jacobian - 0.40329; kp_distance - 1.27078; disc_gan - 0.38816
00000280) perceptual - 78.11497; gen_gan - 0.60996; feature_matching - 4.37380; equivariance_value - 0.20766; equivariance_jacobian - 0.40277; kp_distance - 1.29045; disc_gan - 0.25933
00000280) perceptual - 78.26438; gen_gan - 0.61347; feature_matching - 4.37504; equivariance_value - 0.20790; equivariance_jacobian - 0.40371; kp_distance - 1.28401; disc_gan - 0.25923
00000281) perceptual - 77.93702; gen_gan - 0.64347; feature_matching - 4.50644; equivariance_value - 0.20698; equivariance_jacobian - 0.40151; kp_distance - 1.27815; disc_gan - 0.24069
00000281) perceptual - 78.42336; gen_gan - 0.64471; feature_matching - 4.51225; equivariance_value - 0.20836; equivariance_jacobian - 0.40258; kp_distance - 1.28251; disc_gan - 0.23955
00000282) perceptual - 78.61388; gen_gan - 0.69022; feature_matching - 4.64347; equivariance_value - 0.20459; equivariance_jacobian - 0.40011; kp_distance - 1.27765; disc_gan - 0.21927
00000282) perceptual - 78.40486; gen_gan - 0.68802; feature_matching - 4.63870; equivariance_value - 0.20261; equivariance_jacobian - 0.39770; kp_distance - 1.27332; disc_gan - 0.21963
00000283) perceptual - 78.38255; gen_gan - 0.69957; feature_matching - 4.66420; equivariance_value - 0.20826; equivariance_jacobian - 0.40017; kp_distance - 1.27362; disc_gan - 0.20279
00000283) perceptual - 78.00620; gen_gan - 0.70203; feature_matching - 4.65988; equivariance_value - 0.20810; equivariance_jacobian - 0.40114; kp_distance - 1.27888; disc_gan - 0.20235
00000284) perceptual - 77.98166; gen_gan - 0.70170; feature_matching - 4.68154; equivariance_value - 0.20498; equivariance_jacobian - 0.40037; kp_distance - 1.31484; disc_gan - 0.19724
00000284) perceptual - 78.08459; gen_gan - 0.70273; feature_matching - 4.68263; equivariance_value - 0.20428; equivariance_jacobian - 0.39973; kp_distance - 1.31336; disc_gan - 0.19806
00000285) perceptual - 78.37660; gen_gan - 0.70341; feature_matching - 4.69530; equivariance_value - 0.20572; equivariance_jacobian - 0.39879; kp_distance - 1.27689; disc_gan - 0.19417
00000285) perceptual - 78.13660; gen_gan - 0.70698; feature_matching - 4.70133; equivariance_value - 0.20564; equivariance_jacobian - 0.39875; kp_distance - 1.27196; disc_gan - 0.19326
00000286) perceptual - 78.21704; gen_gan - 0.70386; feature_matching - 4.69356; equivariance_value - 0.20870; equivariance_jacobian - 0.40281; kp_distance - 1.24881; disc_gan - 0.19472
00000286) perceptual - 78.13670; gen_gan - 0.70289; feature_matching - 4.69870; equivariance_value - 0.20840; equivariance_jacobian - 0.40210; kp_distance - 1.25195; disc_gan - 0.19554
00000287) perceptual - 78.26811; gen_gan - 0.70661; feature_matching - 4.71150; equivariance_value - 0.20813; equivariance_jacobian - 0.40237; kp_distance - 1.27572; disc_gan - 0.19349
00000287) perceptual - 77.82478; gen_gan - 0.70254; feature_matching - 4.71155; equivariance_value - 0.20662; equivariance_jacobian - 0.40116; kp_distance - 1.27339; disc_gan - 0.19223
00000288) perceptual - 77.96557; gen_gan - 0.70426; feature_matching - 4.71713; equivariance_value - 0.20516; equivariance_jacobian - 0.40139; kp_distance - 1.30419; disc_gan - 0.19193
00000288) perceptual - 77.78852; gen_gan - 0.70599; feature_matching - 4.71573; equivariance_value - 0.20290; equivariance_jacobian - 0.39933; kp_distance - 1.29340; disc_gan - 0.19288
00000289) perceptual - 78.12367; gen_gan - 0.70425; feature_matching - 4.71981; equivariance_value - 0.20174; equivariance_jacobian - 0.39739; kp_distance - 1.27519; disc_gan - 0.19330
00000289) perceptual - 78.31291; gen_gan - 0.70787; feature_matching - 4.72046; equivariance_value - 0.20240; equivariance_jacobian - 0.39806; kp_distance - 1.27810; disc_gan - 0.19032
00000290) perceptual - 78.83651; gen_gan - 0.71152; feature_matching - 4.75039; equivariance_value - 0.20301; equivariance_jacobian - 0.39838; kp_distance - 1.26029; disc_gan - 0.18826
00000290) perceptual - 78.73452; gen_gan - 0.70901; feature_matching - 4.74607; equivariance_value - 0.20388; equivariance_jacobian - 0.39814; kp_distance - 1.25082; disc_gan - 0.18843
00000291) perceptual - 78.33711; gen_gan - 0.70777; feature_matching - 4.74122; equivariance_value - 0.20694; equivariance_jacobian - 0.40259; kp_distance - 1.22458; disc_gan - 0.18871
00000291) perceptual - 78.33447; gen_gan - 0.70879; feature_matching - 4.74387; equivariance_value - 0.20380; equivariance_jacobian - 0.39935; kp_distance - 1.22509; disc_gan - 0.19015
00000292) perceptual - 78.21522; gen_gan - 0.71023; feature_matching - 4.74230; equivariance_value - 0.20777; equivariance_jacobian - 0.40329; kp_distance - 1.24377; disc_gan - 0.18822
00000292) perceptual - 78.18375; gen_gan - 0.71075; feature_matching - 4.74468; equivariance_value - 0.20708; equivariance_jacobian - 0.40176; kp_distance - 1.25092; disc_gan - 0.18889
00000293) perceptual - 78.04729; gen_gan - 0.70948; feature_matching - 4.76663; equivariance_value - 0.20191; equivariance_jacobian - 0.39689; kp_distance - 1.23223; disc_gan - 0.18912
00000293) perceptual - 78.34756; gen_gan - 0.70690; feature_matching - 4.76143; equivariance_value - 0.20564; equivariance_jacobian - 0.40058; kp_distance - 1.23726; disc_gan - 0.18890
00000294) perceptual - 78.10527; gen_gan - 0.70621; feature_matching - 4.75679; equivariance_value - 0.20793; equivariance_jacobian - 0.40001; kp_distance - 1.19381; disc_gan - 0.18664
00000294) perceptual - 78.26965; gen_gan - 0.71476; feature_matching - 4.75697; equivariance_value - 0.20573; equivariance_jacobian - 0.39710; kp_distance - 1.19691; disc_gan - 0.18835
00000295) perceptual - 78.07539; gen_gan - 0.71116; feature_matching - 4.75917; equivariance_value - 0.20420; equivariance_jacobian - 0.39846; kp_distance - 1.21381; disc_gan - 0.18765
00000295) perceptual - 78.10094; gen_gan - 0.70958; feature_matching - 4.75790; equivariance_value - 0.20478; equivariance_jacobian - 0.39950; kp_distance - 1.20751; disc_gan - 0.18824
00000296) perceptual - 78.21817; gen_gan - 0.71235; feature_matching - 4.76873; equivariance_value - 0.20604; equivariance_jacobian - 0.40029; kp_distance - 1.20286; disc_gan - 0.18749
00000296) perceptual - 78.34415; gen_gan - 0.70998; feature_matching - 4.77007; equivariance_value - 0.20662; equivariance_jacobian - 0.40014; kp_distance - 1.20831; disc_gan - 0.18849
00000297) perceptual - 77.83572; gen_gan - 0.71261; feature_matching - 4.76829; equivariance_value - 0.20762; equivariance_jacobian - 0.39961; kp_distance - 1.22992; disc_gan - 0.18709
00000297) perceptual - 78.44081; gen_gan - 0.70987; feature_matching - 4.77721; equivariance_value - 0.20609; equivariance_jacobian - 0.39827; kp_distance - 1.22960; disc_gan - 0.18726
00000298) perceptual - 77.91879; gen_gan - 0.54894; feature_matching - 3.47382; equivariance_value - 0.20826; equivariance_jacobian - 0.40043; kp_distance - 1.24787; disc_gan - 0.35675
00000298) perceptual - 78.27374; gen_gan - 0.54798; feature_matching - 3.48147; equivariance_value - 0.20786; equivariance_jacobian - 0.39850; kp_distance - 1.24592; disc_gan - 0.35783
00000299) perceptual - 77.51221; gen_gan - 0.36021; feature_matching - 2.01268; equivariance_value - 0.20711; equivariance_jacobian - 0.39943; kp_distance - 1.26581; disc_gan - 0.42825
00000299) perceptual - 77.70023; gen_gan - 0.35895; feature_matching - 2.02210; equivariance_value - 0.20563; equivariance_jacobian - 0.39815; kp_distance - 1.26886; disc_gan - 0.42581
